Level,Korean,Natural English Translation
High-Intermediate,요즘은 하루 일과를 마치고 나면 생각보다 피로가 오래 남아요.,"These days, after finishing my day, the fatigue lingers longer than I expect."
High-Intermediate,그는 대화를 시작하기 전에 분위기를 먼저 살펴보는 편이에요.,He tends to read the atmosphere before starting a conversation.
High-Intermediate,최근에는 운동보다 수면의 질을 더 중요하게 여기게 되었어요.,"Recently, I’ve come to value sleep quality more than exercise."
High-Intermediate,그는 자신의 의견이 다수와 다르더라도 차분하게 설명해요.,"Even when his opinion differs from the majority, he explains it calmly."
High-Intermediate,요즘은 작은 소비 습관도 장기적으로 영향을 미친다는 생각이 들어요.,"These days, I feel that even small spending habits have long-term effects."
High-Intermediate,그는 자신의 실수를 굳이 변명하지 않으려고 해요.,He tries not to make excuses for his mistakes.
High-Intermediate,최근에는 새로운 취미를 통해 예상치 못한 사람들을 만나게 되었어요.,"Recently, through a new hobby, I ended up meeting unexpected people."
High-Intermediate,그는 감정이 격해질수록 말을 줄이려고 해요.,"The more emotional he becomes, the more he tries to speak less."
High-Intermediate,요즘은 뉴스보다 직접 경험한 이야기를 더 신뢰하게 돼요.,"These days, I tend to trust firsthand experiences more than news."
High-Intermediate,그는 결과보다 과정에서 배운 점을 더 중요하게 생각해요.,He values what he learns from the process more than the outcome.
High-Intermediate,최근에는 장을 볼 때 성분표를 더 꼼꼼히 확인해요.,"Recently, I check ingredient labels more carefully when grocery shopping."
High-Intermediate,그는 자신의 기대치를 지나치게 높이지 않으려고 해요.,He tries not to set his expectations too high.
High-Intermediate,요즘은 시간 관리가 생각보다 훨씬 중요하다는 걸 느껴요.,"These days, I realize time management is much more important than I thought."
High-Intermediate,그는 새로운 환경에 들어가면 먼저 관찰하는 편이에요.,"When entering a new environment, he tends to observe first."
High-Intermediate,최근에는 가까운 거리는 걸어 다니려고 노력해요.,"Recently, I try to walk for shorter distances."
High-Intermediate,그는 갈등이 생겨도 감정을 바로 드러내지 않아요.,"Even when conflict arises, he doesn’t immediately reveal his emotions."
High-Intermediate,요즘은 주변 사람들의 조언을 예전보다 더 신중히 받아들여요.,"These days, I accept others’ advice more cautiously than before."
High-Intermediate,그는 자신의 생각을 정리한 뒤에야 결정을 내려요.,He makes decisions only after organizing his thoughts.
High-Intermediate,최근에는 작은 카페에서 보내는 시간이 더 편하게 느껴져요.,"Lately, time spent in small cafés feels more comfortable."
High-Intermediate,그는 실수를 반복하지 않기 위해 메모하는 습관이 있어요.,He has a habit of taking notes to avoid repeating mistakes.
High-Intermediate,요즘은 휴대폰 사용 시간을 줄이려고 의식적으로 노력해요.,"These days, I consciously try to reduce my phone usage."
High-Intermediate,그는 자신이 틀렸다는 걸 알게 되면 바로 인정해요.,"When he realizes he’s wrong, he admits it right away."
High-Intermediate,최근에는 가까운 사람들과 깊은 대화를 나누는 게 더 중요해졌어요.,"Recently, having deeper conversations with close people has become more important."
High-Intermediate,그는 상황을 단순하게 보지 않으려고 항상 한 번 더 생각해요.,He always thinks one more time to avoid oversimplifying situations.
High-Intermediate,요즘은 소비보다 경험에 더 가치를 두는 분위기가 느껴져요.,There’s a growing atmosphere of valuing experiences over consumption these days.
High-Intermediate,최근에는 온라인 강의를 통해 새로운 분야를 배우는 사람이 늘고 있어요.,More people are learning new fields through online courses recently.
High-Intermediate,그는 정보를 접하면 바로 판단하기보다 출처를 먼저 확인해요.,"When he encounters information, he checks the source before judging it."
High-Intermediate,요즘은 지역 상권을 살리려는 움직임이 눈에 띄게 늘었어요.,Efforts to revitalize local businesses have noticeably increased these days.
High-Intermediate,그는 자신의 감정 상태가 판단에 영향을 줄 수 있다는 걸 인식해요.,He recognizes that his emotional state can influence his judgment.
High-Intermediate,최근에는 개인 정보 보호에 대한 관심이 더 높아졌어요.,Interest in personal data protection has grown recently.
High-Intermediate,그는 일정을 무리하게 잡기보다 여유를 두는 편이에요.,He tends to leave space in his schedule rather than overbooking.
High-Intermediate,요즘은 중고 거래가 하나의 문화처럼 자리 잡았어요.,Secondhand trading has become almost a cultural norm these days.
High-Intermediate,그는 갈등이 생기면 상대의 입장을 먼저 정리해 보려고 해요.,"When conflict arises, he tries to summarize the other person’s perspective first."
High-Intermediate,최근에는 친환경 소비가 일상적인 선택이 되고 있어요.,Eco-friendly consumption is becoming an everyday choice.
High-Intermediate,그는 자신의 한계를 인정하는 것이 성장의 시작이라고 생각해요.,He believes acknowledging one’s limits is the beginning of growth.
High-Intermediate,요즘은 짧은 영상 콘텐츠가 여론 형성에 큰 영향을 줘요.,Short-form videos have a major influence on shaping public opinion these days.
High-Intermediate,그는 문제를 개인의 책임으로만 돌리지 않으려고 해요.,He tries not to attribute problems solely to individual responsibility.
High-Intermediate,최근에는 공유 오피스를 활용하는 프리랜서가 많아졌어요.,More freelancers are using shared office spaces recently.
High-Intermediate,그는 자신의 목표를 구체적인 단계로 나누어 계획해요.,He breaks his goals into concrete steps when planning.
High-Intermediate,요즘은 구독 서비스가 소비 습관을 바꾸고 있는 것 같아요.,Subscription services seem to be changing consumption habits these days.
High-Intermediate,그는 의견이 충돌해도 관계를 유지하려고 노력해요.,"Even when opinions clash, he tries to maintain the relationship."
High-Intermediate,최근에는 지역 기반 커뮤니티 활동이 다시 활발해지고 있어요.,Community-based activities are becoming active again recently.
High-Intermediate,그는 결정을 내리기 전에 장단점을 정리해 보는 편이에요.,He tends to organize the pros and cons before making decisions.
High-Intermediate,요즘은 자동화 기술이 업무 방식에 큰 변화를 주고 있어요.,Automation technology is bringing major changes to work practices.
High-Intermediate,그는 자신의 반응이 과하지 않았는지 돌아봐요.,He reflects on whether his reaction was excessive.
High-Intermediate,최근에는 식물성 식단을 선택하는 사람이 점점 늘고 있어요.,More people are gradually choosing plant-based diets.
High-Intermediate,그는 감정이 앞설 때는 잠시 거리를 두려고 해요.,"When emotions take over, he tries to step back briefly."
High-Intermediate,요즘은 뉴스 소비 방식도 세대별로 차이가 커요.,News consumption habits differ significantly by generation these days.
High-Intermediate,그는 실수를 했을 때 원인을 분석하려고 해요.,"When he makes a mistake, he tries to analyze the cause."
High-Intermediate,최근에는 워라밸을 중시하는 분위기가 사회 전반에 퍼지고 있어요.,An emphasis on work-life balance is spreading throughout society.
High-Intermediate,요즘은 장을 볼 때 계획 없이 가면 괜히 더 많이 사게 돼요.,"These days, if I go grocery shopping without a plan, I end up buying more than I need."
High-Intermediate,그는 피곤할수록 말수가 줄어드는 편이에요.,"The more tired he gets, the quieter he becomes."
High-Intermediate,최근에는 집에서 직접 요리하는 시간이 늘었어요.,"Recently, I’ve been spending more time cooking at home."
High-Intermediate,그는 대화를 하다가도 상대의 표정을 자주 살펴봐요.,"Even during a conversation, he often checks the other person’s expression."
High-Intermediate,요즘은 카페에서 오래 앉아 있으면 괜히 눈치가 보여요.,"These days, if I sit in a café too long, I feel a bit self-conscious."
High-Intermediate,그는 무언가를 시작하기 전에 준비 시간을 충분히 가져요.,He makes sure to take enough preparation time before starting something.
High-Intermediate,최근에는 택배가 예상보다 늦게 오는 경우가 많아요.,"Recently, deliveries have been arriving later than expected."
High-Intermediate,그는 약속 시간에 늦는 걸 거의 용납하지 않아요.,He hardly tolerates being late for appointments.
High-Intermediate,요즘은 날씨 변화가 심해서 옷차림을 고르기가 어려워요.,The weather fluctuates so much these days that it’s hard to choose what to wear.
High-Intermediate,그는 화가 나도 바로 표현하기보다는 시간을 두는 편이에요.,"Even when he’s angry, he tends to wait before expressing it."
High-Intermediate,최근에는 운동을 하루 건너뛰면 몸이 더 무거워지는 느낌이 들어요.,"Recently, if I skip a workout, my body feels heavier."
High-Intermediate,그는 계산할 때 작은 금액도 꼼꼼히 확인해요.,He carefully checks even small amounts when paying.
High-Intermediate,요즘은 엘리베이터를 기다리기보다 계단을 이용하려고 해요.,"These days, I try to take the stairs instead of waiting for the elevator."
High-Intermediate,그는 자신의 기분이 얼굴에 잘 드러나는 편이에요.,His mood tends to show clearly on his face.
High-Intermediate,최근에는 친구들과 연락하는 방식이 예전보다 단순해졌어요.,The way I stay in touch with friends has become simpler than before.
High-Intermediate,그는 무리한 부탁을 받으면 바로 거절하지 못하는 편이에요.,He has difficulty immediately refusing unreasonable requests.
High-Intermediate,요즘은 휴대폰 배터리가 빨리 닳는 것 같아요.,"These days, it feels like my phone battery drains quickly."
High-Intermediate,그는 약속을 잡을 때 상대의 일정을 먼저 물어봐요.,"When making plans, he asks about the other person’s schedule first."
High-Intermediate,최근에는 밤에 잠들기까지 시간이 더 오래 걸려요.,"Recently, it’s been taking longer to fall asleep at night."
High-Intermediate,그는 물건을 쉽게 버리지 못하는 편이에요.,He has a hard time throwing things away.
High-Intermediate,요즘은 외출 전에 날씨 앱을 꼭 확인해요.,"These days, I always check the weather app before going out."
High-Intermediate,그는 대화를 끝낼 타이밍을 잘 잡는 편이에요.,He’s good at sensing the right moment to end a conversation.
High-Intermediate,최근에는 작은 소음에도 예민해진 느낌이 들어요.,"Lately, I feel more sensitive to small noises."
High-Intermediate,그는 자신의 생각을 메모하지 않으면 금방 잊어버려요.,"If he doesn’t write down his thoughts, he quickly forgets them."
High-Intermediate,요즘은 사람을 만나는 것보다 혼자 있는 시간이 더 편해요.,"These days, being alone feels more comfortable than meeting people."
High-Intermediate,요즘은 해야 할 일을 자꾸 미루게 되는 날이 있어요.,"These days, there are days when I keep putting off what I need to do."
High-Intermediate,그는 물건을 살 때 가격뿐만 아니라 실용성도 따져요.,"When buying something, he considers not only the price but also practicality."
High-Intermediate,최근에는 아침을 거르면 하루 리듬이 흐트러지는 느낌이에요.,"Recently, if I skip breakfast, my whole daily rhythm feels off."
High-Intermediate,그는 부탁을 받으면 쉽게 거절하지 못하는 성격이에요.,He’s the type who finds it hard to refuse a request.
High-Intermediate,요즘은 대화를 하다가도 자꾸 휴대폰을 확인하게 돼요.,"These days, I find myself checking my phone even during conversations."
High-Intermediate,그는 중요한 물건을 항상 같은 자리에 두려고 해요.,He tries to keep important items in the same place.
High-Intermediate,최근에는 예상보다 지출이 많아서 예산을 다시 정리했어요.,"Recently, I spent more than expected, so I reorganized my budget."
High-Intermediate,그는 무언가를 시작하면 끝까지 마무리하려는 편이에요.,"Once he starts something, he tends to see it through to the end."
High-Intermediate,요즘은 작은 일에도 쉽게 집중이 흐트러져요.,"These days, even small things easily break my concentration."
High-Intermediate,그는 기분이 좋지 않을 때 혼자 산책을 하러 나가요.,"When he’s not feeling well emotionally, he goes out for a walk alone."
High-Intermediate,최근에는 집 안 정리를 하면서 생각도 함께 정리되는 느낌이 들었어요.,"Recently, while cleaning the house, I felt like my thoughts were getting organized too."
High-Intermediate,그는 약속을 정하면 가능하면 바꾸지 않으려고 해요.,"Once he makes plans, he tries not to change them."
High-Intermediate,요즘은 평소보다 커피를 더 자주 마시는 것 같아요.,"These days, I think I drink coffee more often than usual."
High-Intermediate,그는 대화를 할 때 상대의 말을 끝까지 듣는 편이에요.,He tends to listen until the other person finishes speaking.
High-Intermediate,최근에는 늦게까지 화면을 보면 눈이 쉽게 피로해져요.,"Recently, if I look at screens late into the night, my eyes get tired easily."
High-Intermediate,그는 감정을 바로 표현하기보다 속으로 한 번 정리해요.,He organizes his feelings internally before expressing them.
High-Intermediate,요즘은 갑자기 약속이 취소되면 오히려 안도감이 들 때도 있어요.,"These days, when plans suddenly get canceled, I sometimes feel relieved."
High-Intermediate,그는 중요한 결정을 내리기 전에 혼자 생각할 시간을 가져요.,"Before making important decisions, he takes time alone to think."
High-Intermediate,최근에는 운동을 하지 않으면 몸이 쉽게 뻐근해져요.,"Recently, if I don’t exercise, my body gets stiff easily."
High-Intermediate,그는 감정이 격해질수록 목소리를 낮추려고 해요.,"The more emotional he becomes, the more he tries to lower his voice."
High-Intermediate,요즘은 사람 많은 장소에 가면 쉽게 지치는 느낌이에요.,"These days, crowded places tire me out easily."
High-Intermediate,그는 한 번 실수한 일은 다시 반복하지 않으려고 신경 써요.,He pays attention to avoid repeating a mistake he’s made before.
High-Intermediate,최근에는 밤에 생각이 많아져서 쉽게 잠들지 못해요.,"Recently, my thoughts increase at night, and I can’t fall asleep easily."
High-Intermediate,그는 무언가를 선택할 때 직감보다는 이유를 따지는 편이에요.,"When making choices, he tends to examine the reasons rather than rely on intuition."
High-Intermediate,요즘은 하루가 빠르게 지나가는 느낌이 들어요.,"These days, it feels like the days pass quickly."
High-Intermediate,요즘은 사소한 일에도 괜히 예민해지는 순간이 있어요.,"These days, there are moments when I become overly sensitive over small things."
High-Intermediate,그는 자신의 감정 변화를 비교적 빠르게 인식하는 편이에요.,He tends to recognize changes in his emotions relatively quickly.
High-Intermediate,최근에는 하루 일과를 기록하면서 패턴을 분석해 보고 있어요.,"Recently, I’ve been tracking my daily routine and analyzing patterns."
High-Intermediate,그는 충동적인 선택을 피하려고 잠시 멈추는 습관이 있어요.,He has a habit of pausing to avoid impulsive decisions.
High-Intermediate,요즘은 혼자 있는 시간이 재충전에 꼭 필요하다고 느껴요.,"These days, I feel that alone time is essential for recharging."
High-Intermediate,그는 자신의 기대가 현실과 어긋날 때 실망을 오래 끌지 않으려고 해요.,"When his expectations don’t align with reality, he tries not to dwell on disappointment."
High-Intermediate,최근에는 작은 성취라도 의식적으로 스스로를 격려하려고 해요.,"Recently, I consciously try to encourage myself even for small achievements."
High-Intermediate,그는 감정에 휘둘리기보다 상황을 객관적으로 해석하려고 해요.,"Rather than being swayed by emotion, he tries to interpret situations objectively."
High-Intermediate,요즘은 대화를 하다가도 상대의 반응을 과도하게 추측하게 돼요.,"These days, I sometimes overanalyze the other person’s reactions during conversations."
High-Intermediate,그는 자신의 판단 기준이 어디에서 비롯되었는지 고민해요.,He reflects on where his standards of judgment come from.
High-Intermediate,최근에는 소비를 줄이기 위해 지출 내역을 세분화해서 관리해요.,"Recently, I’ve been categorizing my expenses in detail to reduce spending."
High-Intermediate,그는 갈등 상황에서 즉각적인 반응보다 균형을 유지하려고 해요.,"In conflicts, he tries to maintain balance rather than react immediately."
High-Intermediate,요즘은 계획을 세울 때 예상 변수까지 고려하려고 해요.,"These days, I try to account for possible variables when making plans."
High-Intermediate,그는 자신의 약점을 숨기기보다 개선 가능성으로 보려고 해요.,He tries to see his weaknesses as areas for growth rather than hide them.
High-Intermediate,최근에는 주변 환경이 생각보다 기분에 큰 영향을 준다는 걸 느껴요.,"Recently, I’ve realized that surroundings affect my mood more than I thought."
High-Intermediate,그는 감정이 격해질수록 표현을 더 신중히 선택해요.,"The more emotional he becomes, the more carefully he chooses his words."
High-Intermediate,요즘은 사람들의 말보다 태도에서 진심을 읽게 돼요.,"These days, I read sincerity more from people’s attitude than their words."
High-Intermediate,그는 결정 이후에도 스스로의 선택을 재검토해요.,"Even after deciding, he reviews his choice again."
High-Intermediate,최근에는 일과 휴식의 경계를 명확히 나누려고 노력해요.,"Recently, I’ve been trying to clearly separate work and rest."
High-Intermediate,그는 자신의 반응이 과잉 해석은 아니었는지 돌아봐요.,He reflects on whether his reaction was an overinterpretation.
High-Intermediate,요즘은 단순한 취향도 정체성의 일부처럼 느껴져요.,"These days, even simple preferences feel like part of one’s identity."
High-Intermediate,그는 문제를 단편적으로 보지 않고 맥락 속에서 이해하려고 해요.,He tries to understand problems within context rather than in fragments.
High-Intermediate,최근에는 감정을 억누르기보다 조절하는 게 중요하다고 느껴요.,"Recently, I’ve felt that regulating emotions is more important than suppressing them."
High-Intermediate,그는 자신의 행동이 장기적으로 어떤 영향을 줄지 고려해요.,He considers the long-term impact of his actions.
High-Intermediate,요즘은 즉각적인 만족보다 지속적인 안정감을 더 추구하게 돼요.,"These days, I tend to pursue lasting stability over immediate satisfaction."
High-Intermediate,요즘은 감정이 격해질 때 바로 결론을 단정하지 않으려고 해요.,"These days, I try not to jump to conclusions when emotions run high."
High-Intermediate,그는 상대의 말을 자신의 기준으로 왜곡하지 않으려고 신경 써요.,He makes an effort not to distort others’ words through his own standards.
High-Intermediate,최근에는 중요한 결정을 내리기 전에 판단을 잠시 유보하는 편이에요.,"Recently, I tend to hold off on judgment before making important decisions."
High-Intermediate,그는 자신의 실수를 단순한 실패로 간주하지 않아요.,He doesn’t regard his mistakes as mere failures.
High-Intermediate,요즘은 계획을 세울 때 예상되는 변수들을 미리 감안하려고 해요.,"These days, I try to take expected variables into account when making plans."
High-Intermediate,그는 대화를 하면서 불필요한 오해를 배제하려고 노력해요.,He tries to eliminate unnecessary misunderstandings during conversations.
High-Intermediate,최근에는 소비 습관을 조정하기 위해 작은 지출부터 줄이고 있어요.,"Recently, I’ve been adjusting my spending habits by cutting small expenses first."
High-Intermediate,그는 감정 표현을 억제하기보다 상황에 맞게 조절하려고 해요.,"Rather than suppressing emotions, he tries to regulate them according to the situation."
High-Intermediate,요즘은 무언가를 선택할 때 직감을 절대적인 기준으로 전제하지 않아요.,"These days, I don’t assume intuition to be an absolute standard when making choices."
High-Intermediate,그는 자신의 판단이 편향되었을 가능성을 간과하지 않으려고 해요.,He tries not to overlook the possibility that his judgment may be biased.
High-Intermediate,최근에는 일정을 조금 완화해서 여유를 확보하려고 했어요.,"Recently, I eased my schedule slightly to secure some breathing room."
High-Intermediate,그는 한 번 세운 원칙을 쉽게 고집하지는 않아요.,He doesn’t stubbornly insist on principles once they’re set.
High-Intermediate,요즘은 작은 불편도 쌓이면 스트레스로 전환되는 것 같아요.,"These days, even small inconveniences seem to turn into stress when they accumulate."
High-Intermediate,그는 상대의 침묵을 부정적인 신호로 단정하지 않아요.,He doesn’t immediately interpret silence as a negative signal.
High-Intermediate,최근에는 자신의 반응을 객관화하려고 한 발 물러서 보려고 해요.,"Recently, I’ve been trying to step back and objectify my own reactions."
High-Intermediate,그는 상황을 과장하거나 축소하지 않으려고 의식적으로 조정해요.,He consciously adjusts his perspective to avoid exaggerating or minimizing situations.
High-Intermediate,요즘은 기대를 지나치게 확대하지 않으려고 스스로를 견제해요.,"These days, I hold myself back from inflating expectations too much."
High-Intermediate,그는 자신의 불안을 숨기기보다 인정하는 쪽을 선택해요.,He chooses to acknowledge his anxiety rather than conceal it.
High-Intermediate,최근에는 감정을 억압하면 오히려 더 커진다는 걸 느꼈어요.,"Recently, I’ve felt that suppressing emotions only makes them grow."
High-Intermediate,그는 자신의 판단을 절대적인 기준으로 간주하지 않아요.,He doesn’t regard his judgment as an absolute standard.
High-Intermediate,요즘은 말하기 전에 그 표현이 오해를 불러올지 고민해요.,"These days, I consider whether my wording might cause misunderstanding before speaking."
High-Intermediate,그는 감정적인 반응을 잠시 유보하고 상황을 다시 살펴봐요.,He temporarily withholds emotional reactions and reexamines the situation.
High-Intermediate,최근에는 작은 성공도 의도적으로 환기하며 동기를 유지하려고 해요.,"Recently, I deliberately recall small successes to maintain motivation."
High-Intermediate,그는 문제를 개인적인 결함으로만 환원하지 않아요.,He doesn’t reduce problems solely to personal flaws.
High-Intermediate,요즘은 선택을 할 때 단기적인 편의보다 장기적인 균형을 고려해요.,"These days, I consider long-term balance over short-term convenience when making choices."
High-Intermediate,요즘은 사소한 선택도 나름의 기준에 따라 정리해 보려고 해요.,"These days, I try to organize even small choices according to my own standards."
High-Intermediate,그는 자신의 감정을 합리화하기 전에 먼저 인정하려고 해요.,He tries to acknowledge his emotions before rationalizing them.
High-Intermediate,최근에는 하루 일정을 재조정하면서 우선순위를 다시 세웠어요.,"Recently, I reorganized my daily schedule and reset my priorities."
High-Intermediate,그는 타인의 기대를 무조건 수용하지 않으려고 해요.,He tries not to accept others’ expectations unconditionally.
High-Intermediate,요즘은 일이 꼬이면 원인을 외부에서만 찾지 않으려고 해요.,"These days, when things go wrong, I try not to look only for external causes."
High-Intermediate,그는 자신의 판단이 상황에 따라 달라질 수 있다는 걸 인정해요.,He acknowledges that his judgment can vary depending on the situation.
High-Intermediate,최근에는 감정의 흐름을 억지로 통제하기보다 관찰하려고 해요.,"Recently, I’ve tried to observe the flow of my emotions rather than forcefully control it."
High-Intermediate,그는 대화를 하면서 자신의 전제를 점검하는 편이에요.,"During conversations, he tends to examine his own assumptions."
High-Intermediate,요즘은 결정 이후에도 그 선택이 적절했는지 검토해요.,"These days, I review whether my choices were appropriate even after deciding."
High-Intermediate,그는 갈등 상황에서 감정을 증폭시키지 않으려고 의식적으로 노력해요.,He consciously tries not to amplify emotions during conflicts.
High-Intermediate,최근에는 불필요한 약속을 정중히 거절하는 연습을 하고 있어요.,"Recently, I’ve been practicing politely declining unnecessary plans."
High-Intermediate,그는 자신의 반응이 과거 경험에 의해 왜곡되었는지 살펴봐요.,He examines whether his reaction has been distorted by past experiences.
High-Intermediate,요즘은 작은 불편도 무시하지 않고 원인을 따져 보려고 해요.,"These days, I try not to ignore small discomforts and instead examine their cause."
High-Intermediate,그는 자신의 기대가 현실을 압도하지 않도록 조정해요.,He adjusts his expectations so they don’t overpower reality.
High-Intermediate,최근에는 타인의 조언을 무조건 따르기보다 선별하려고 해요.,"Recently, I try to filter advice rather than follow it blindly."
High-Intermediate,그는 감정이 격해질수록 표현을 최소화하려는 경향이 있어요.,"The more emotional he becomes, the more he tends to minimize expression."
High-Intermediate,요즘은 스스로를 과도하게 평가하지 않으려고 신경 써요.,"These days, I try not to evaluate myself too harshly."
High-Intermediate,그는 자신의 결정을 합리적인 범위 안에서 수정할 줄 알아요.,He knows how to revise his decisions within reasonable limits.
High-Intermediate,최근에는 작은 변화가 장기적으로 어떤 영향을 줄지 생각해요.,"Recently, I’ve been considering how small changes might affect things long term."
High-Intermediate,그는 자신의 감정을 타인에게 전가하지 않으려고 해요.,He tries not to project his emotions onto others.
High-Intermediate,요즘은 일이 잘 풀리지 않을 때도 상황을 단순화하지 않으려고 해요.,"These days, even when things don’t go well, I try not to oversimplify the situation."
High-Intermediate,그는 자신의 관점이 유일한 해석이라고 고집하지 않아요.,He doesn’t insist that his perspective is the only interpretation.
High-Intermediate,최근에는 과거의 선택을 후회하기보다 맥락을 이해하려고 해요.,"Recently, I try to understand the context rather than regret past choices."
High-Intermediate,그는 감정을 억누르기보다 적절한 방식으로 표현하려고 해요.,He tries to express emotions appropriately rather than suppress them.
High-Intermediate,요즘은 판단을 내리기 전에 충분한 여지를 남겨 두려고 해요.,"These days, I try to leave enough room before making judgments."
High-Intermediate,요즘은 감정이 누적되기 전에 미리 정리하려고 해요.,"These days, I try to sort out my emotions before they accumulate."
High-Intermediate,그는 대화의 흐름을 조율하면서 불필요한 긴장을 완충하려고 해요.,He tries to coordinate the flow of conversation to buffer unnecessary tension.
High-Intermediate,최근에는 작은 습관이 장기적으로 축적된다는 걸 실감하고 있어요.,"Recently, I’ve been realizing that small habits accumulate over time."
High-Intermediate,그는 자신의 판단을 절대화하지 않으려고 유연하게 조정해요.,He flexibly adjusts his judgment to avoid treating it as absolute.
High-Intermediate,요즘은 반복되는 감정을 통해 내면의 패턴을 파악하려고 해요.,"These days, I try to identify inner patterns through recurring emotions."
High-Intermediate,그는 상황을 단순히 개인적인 문제로 환원하지 않아요.,He doesn’t reduce situations to merely personal issues.
High-Intermediate,최근에는 하루의 리듬을 의식적으로 재구성해 보려고 했어요.,"Recently, I tried consciously restructuring my daily rhythm."
High-Intermediate,그는 자신의 반응이 과거 경험을 반영한 것인지 점검해요.,He checks whether his reactions reflect past experiences.
High-Intermediate,요즘은 작은 성공을 통해 자신감을 서서히 체화하고 있어요.,"These days, I’m gradually internalizing confidence through small successes."
High-Intermediate,그는 자신의 기대가 타인에게 부담으로 작용하지 않도록 조절해요.,He adjusts his expectations so they don’t burden others.
High-Intermediate,최근에는 감정을 억누르기보다 자연스럽게 흘려보내려고 해요.,"Recently, I’ve tried to let emotions pass naturally rather than suppress them."
High-Intermediate,그는 자신의 관점을 명확히 하되 강요하지 않으려고 해요.,He clarifies his perspective but avoids imposing it.
High-Intermediate,요즘은 하루를 돌아보며 무엇이 의미 있었는지 환기해요.,"These days, I reflect on what felt meaningful during the day."
High-Intermediate,그는 자신의 말이 의도와 다르게 해석될 가능성을 감안해요.,He takes into account that his words might be interpreted differently than intended.
High-Intermediate,최근에는 에너지를 효율적으로 배분하려고 노력하고 있어요.,"Recently, I’ve been trying to distribute my energy more efficiently."
High-Intermediate,그는 감정을 외부 상황 탓으로만 돌리지 않아요.,He doesn’t attribute his emotions solely to external circumstances.
High-Intermediate,요즘은 작은 변화라도 의식적으로 반복하려고 해요.,"These days, I try to repeat even small changes consciously."
High-Intermediate,그는 자신의 한계를 인정하되 가능성을 배제하지 않아요.,He acknowledges his limits but doesn’t exclude possibilities.
High-Intermediate,최근에는 감정의 원인을 단정하기보다 탐색하려고 해요.,"Recently, I try to explore the causes of emotions rather than conclude them definitively."
High-Intermediate,그는 자신의 기준이 시대에 따라 변할 수 있다고 생각해요.,He believes his standards can change over time.
High-Intermediate,요즘은 생각이 많아질수록 일부러 단순한 행동을 선택해요.,"When my thoughts become overwhelming these days, I intentionally choose simple actions."
High-Intermediate,그는 갈등을 즉시 해결하기보다 시간을 두고 조율하려고 해요.,"Rather than resolving conflict immediately, he tries to adjust it over time."
High-Intermediate,최근에는 반복되는 실수를 통해 내면의 습관을 분석해요.,"Recently, I analyze inner habits through repeated mistakes."
High-Intermediate,그는 자신의 판단이 완전하지 않다는 전제를 항상 두어요.,He always operates on the premise that his judgment is not perfect.
High-Intermediate,요즘은 하루의 끝에서 조용히 스스로를 점검하는 시간이 필요해요.,"These days, I need quiet time at the end of the day to check in with myself."
