Level,Greek,Natural English Translation
B1-Bridge,"Η εμπειρία αυτή ενίσχυσε την αυτοπεποίθησή μου, με αυτόν τον τρόπο.","This experience strengthened my self-confidence, in this way."
B1-Bridge,"Η εμπειρία αυτή ενίσχυσε την αυτοπεποίθησή μου, χωρίς αμφιβολία.","This experience strengthened my self-confidence, without a doubt."
B1-Bridge,"Η εμπειρία αυτή ενίσχυσε την αυτοπεποίθησή μου, κατά τη γνώμη μου.","This experience strengthened my self-confidence, in my opinion."
B1-Bridge,"Αν συνεχίσουμε έτσι, θα πετύχουμε τον στόχο μας, για τον λόγο αυτό.","If we continue like this, we will achieve our goal, for this reason."
B1-Bridge,"Αν συνεχίσουμε έτσι, θα πετύχουμε τον στόχο μας, σε αυτή την περίπτωση.","If we continue like this, we will achieve our goal, in this case."
B1-Bridge,"Αν συνεχίσουμε έτσι, θα πετύχουμε τον στόχο μας, με αυτόν τον τρόπο.","If we continue like this, we will achieve our goal, in this way."
B1-Bridge,"Αν συνεχίσουμε έτσι, θα πετύχουμε τον στόχο μας, χωρίς αμφιβολία.","If we continue like this, we will achieve our goal, without a doubt."
B1-Bridge,"Αν συνεχίσουμε έτσι, θα πετύχουμε τον στόχο μας, κατά τη γνώμη μου.","If we continue like this, we will achieve our goal, in my opinion."
B1,Ανακοινώθηκε ότι η εκδήλωση θα πραγματοποιηθεί την επόμενη εβδομάδα.,It was announced that the event will take place next week.
B1,Η απόφαση ελήφθη μετά από μακρά συζήτηση.,The decision was made after a long discussion.
B1,Μου εξήγησε ότι είχε ήδη ολοκληρώσει την εργασία πριν φύγει.,He explained to me that he had already completed the task before leaving.
B1,Το ζήτημα που εξετάζεται αφορά την προστασία του περιβάλλοντος.,The issue being examined concerns environmental protection.
B1,"Αν είχε ενημερωθεί νωρίτερα, θα είχε αντιδράσει διαφορετικά.","If he had been informed earlier, he would have reacted differently."
B1,Η πρόταση απορρίφθηκε επειδή δεν πληρούσε τις προϋποθέσεις.,The proposal was rejected because it did not meet the requirements.
B1,Εκφράστηκε η άποψη ότι χρειάζονται άμεσες αλλαγές.,The opinion was expressed that immediate changes are needed.
B1,"Παρά το γεγονός ότι υπήρχαν δυσκολίες, το σχέδιο υλοποιήθηκε.","Despite the fact that there were difficulties, the plan was implemented."
B1,Η έρευνα που πραγματοποιήθηκε έδειξε θετικά αποτελέσματα.,The research that was conducted showed positive results.
B1,Είναι πιθανό να υπάρξουν καθυστερήσεις λόγω τεχνικών προβλημάτων.,It is possible that there will be delays due to technical issues.
B1,Μου είχε υποσχεθεί ότι θα με ενημερώσει εγκαίρως.,He had promised me that he would inform me in time.
B1,Το έργο ολοκληρώθηκε σύμφωνα με το αρχικό χρονοδιάγραμμα.,The project was completed according to the original schedule.
B1,Δεν είχε συνειδητοποιήσει πόσο σημαντική ήταν η απόφαση.,He had not realized how important the decision was.
B1,Η συμφωνία υπογράφηκε παρουσία των εκπροσώπων.,The agreement was signed in the presence of the representatives.
B1,"Όπως αναφέρθηκε προηγουμένως, η διαδικασία είναι πολύπλοκη.","As mentioned previously, the process is complex."
B1,Το αίτημα εξετάζεται από την αρμόδια επιτροπή.,The request is being examined by the competent committee.
B1,Η κατάσταση βελτιώθηκε χάρη στις προσπάθειες της ομάδας.,The situation improved thanks to the efforts of the team.
B1,"Εφόσον εγκριθεί η πρόταση, θα ξεκινήσει άμεσα η εφαρμογή της.","If the proposal is approved, its implementation will begin immediately."
B1,Η πληροφορία που δόθηκε αποδείχθηκε ανακριβής.,The information that was given proved to be inaccurate.
B1,"Σύμφωνα με τις τελευταίες εξελίξεις, αναμένονται αλλαγές.","According to the latest developments, changes are expected."
B1,Ανακοινώθηκε ότι η εκδήλωση θα πραγματοποιηθεί την επόμενη εβδομάδα στο άμεσο μέλλον.,It was announced that the event will take place next week in the near future.
B1,Ανακοινώθηκε ότι η εκδήλωση θα πραγματοποιηθεί την επόμενη εβδομάδα υπό συγκεκριμένες συνθήκες.,It was announced that the event will take place next week under specific conditions.
B1,Ανακοινώθηκε ότι η εκδήλωση θα πραγματοποιηθεί την επόμενη εβδομάδα χωρίς περαιτέρω καθυστέρηση.,It was announced that the event will take place next week without further delay.
B1,Ανακοινώθηκε ότι η εκδήλωση θα πραγματοποιηθεί την επόμενη εβδομάδα με ιδιαίτερη προσοχή.,It was announced that the event will take place next week with particular attention.
B1,Ανακοινώθηκε ότι η εκδήλωση θα πραγματοποιηθεί την επόμενη εβδομάδα σε εθνικό επίπεδο.,It was announced that the event will take place next week at a national level.
B1,Η απόφαση ελήφθη μετά από μακρά συζήτηση στο άμεσο μέλλον.,The decision was made after a long discussion in the near future.
B1,Η απόφαση ελήφθη μετά από μακρά συζήτηση υπό συγκεκριμένες συνθήκες.,The decision was made after a long discussion under specific conditions.
B1,Η απόφαση ελήφθη μετά από μακρά συζήτηση χωρίς περαιτέρω καθυστέρηση.,The decision was made after a long discussion without further delay.
B1,Η απόφαση ελήφθη μετά από μακρά συζήτηση με ιδιαίτερη προσοχή.,The decision was made after a long discussion with particular attention.
B1,Η απόφαση ελήφθη μετά από μακρά συζήτηση σε εθνικό επίπεδο.,The decision was made after a long discussion at a national level.
B1,Μου εξήγησε ότι είχε ήδη ολοκληρώσει την εργασία πριν φύγει στο άμεσο μέλλον.,He explained to me that he had already completed the task before leaving in the near future.
B1,Μου εξήγησε ότι είχε ήδη ολοκληρώσει την εργασία πριν φύγει υπό συγκεκριμένες συνθήκες.,He explained to me that he had already completed the task before leaving under specific conditions.
B1,Μου εξήγησε ότι είχε ήδη ολοκληρώσει την εργασία πριν φύγει χωρίς περαιτέρω καθυστέρηση.,He explained to me that he had already completed the task before leaving without further delay.
B1,Μου εξήγησε ότι είχε ήδη ολοκληρώσει την εργασία πριν φύγει με ιδιαίτερη προσοχή.,He explained to me that he had already completed the task before leaving with particular attention.
B1,Μου εξήγησε ότι είχε ήδη ολοκληρώσει την εργασία πριν φύγει σε εθνικό επίπεδο.,He explained to me that he had already completed the task before leaving at a national level.
B1,Το ζήτημα που εξετάζεται αφορά την προστασία του περιβάλλοντος στο άμεσο μέλλον.,The issue being examined concerns environmental protection in the near future.
B1,Το ζήτημα που εξετάζεται αφορά την προστασία του περιβάλλοντος υπό συγκεκριμένες συνθήκες.,The issue being examined concerns environmental protection under specific conditions.
B1,Το ζήτημα που εξετάζεται αφορά την προστασία του περιβάλλοντος χωρίς περαιτέρω καθυστέρηση.,The issue being examined concerns environmental protection without further delay.
B1,Το ζήτημα που εξετάζεται αφορά την προστασία του περιβάλλοντος με ιδιαίτερη προσοχή.,The issue being examined concerns environmental protection with particular attention.
B1,Το ζήτημα που εξετάζεται αφορά την προστασία του περιβάλλοντος σε εθνικό επίπεδο.,The issue being examined concerns environmental protection at a national level.
B1,"Αν είχε ενημερωθεί νωρίτερα, θα είχε αντιδράσει διαφορετικά στο άμεσο μέλλον.","If he had been informed earlier, he would have reacted differently in the near future."
B1,"Αν είχε ενημερωθεί νωρίτερα, θα είχε αντιδράσει διαφορετικά υπό συγκεκριμένες συνθήκες.","If he had been informed earlier, he would have reacted differently under specific conditions."
B1,"Αν είχε ενημερωθεί νωρίτερα, θα είχε αντιδράσει διαφορετικά χωρίς περαιτέρω καθυστέρηση.","If he had been informed earlier, he would have reacted differently without further delay."
B1,"Αν είχε ενημερωθεί νωρίτερα, θα είχε αντιδράσει διαφορετικά με ιδιαίτερη προσοχή.","If he had been informed earlier, he would have reacted differently with particular attention."
B1,"Αν είχε ενημερωθεί νωρίτερα, θα είχε αντιδράσει διαφορετικά σε εθνικό επίπεδο.","If he had been informed earlier, he would have reacted differently at a national level."
B1,Η πρόταση απορρίφθηκε επειδή δεν πληρούσε τις προϋποθέσεις στο άμεσο μέλλον.,The proposal was rejected because it did not meet the requirements in the near future.
B1,Η πρόταση απορρίφθηκε επειδή δεν πληρούσε τις προϋποθέσεις υπό συγκεκριμένες συνθήκες.,The proposal was rejected because it did not meet the requirements under specific conditions.
B1,Η πρόταση απορρίφθηκε επειδή δεν πληρούσε τις προϋποθέσεις χωρίς περαιτέρω καθυστέρηση.,The proposal was rejected because it did not meet the requirements without further delay.
B1,Η πρόταση απορρίφθηκε επειδή δεν πληρούσε τις προϋποθέσεις με ιδιαίτερη προσοχή.,The proposal was rejected because it did not meet the requirements with particular attention.
B1,Η πρόταση απορρίφθηκε επειδή δεν πληρούσε τις προϋποθέσεις σε εθνικό επίπεδο.,The proposal was rejected because it did not meet the requirements at a national level.
B1,Εκφράστηκε η άποψη ότι χρειάζονται άμεσες αλλαγές στο άμεσο μέλλον.,The opinion was expressed that immediate changes are needed in the near future.
B1,Εκφράστηκε η άποψη ότι χρειάζονται άμεσες αλλαγές υπό συγκεκριμένες συνθήκες.,The opinion was expressed that immediate changes are needed under specific conditions.
B1,Εκφράστηκε η άποψη ότι χρειάζονται άμεσες αλλαγές χωρίς περαιτέρω καθυστέρηση.,The opinion was expressed that immediate changes are needed without further delay.
B1,Εκφράστηκε η άποψη ότι χρειάζονται άμεσες αλλαγές με ιδιαίτερη προσοχή.,The opinion was expressed that immediate changes are needed with particular attention.
B1,Εκφράστηκε η άποψη ότι χρειάζονται άμεσες αλλαγές σε εθνικό επίπεδο.,The opinion was expressed that immediate changes are needed at a national level.
B1,"Παρά το γεγονός ότι υπήρχαν δυσκολίες, το σχέδιο υλοποιήθηκε στο άμεσο μέλλον.","Despite the fact that there were difficulties, the plan was implemented in the near future."
B1,"Παρά το γεγονός ότι υπήρχαν δυσκολίες, το σχέδιο υλοποιήθηκε υπό συγκεκριμένες συνθήκες.","Despite the fact that there were difficulties, the plan was implemented under specific conditions."
B1,"Παρά το γεγονός ότι υπήρχαν δυσκολίες, το σχέδιο υλοποιήθηκε χωρίς περαιτέρω καθυστέρηση.","Despite the fact that there were difficulties, the plan was implemented without further delay."
B1,"Παρά το γεγονός ότι υπήρχαν δυσκολίες, το σχέδιο υλοποιήθηκε με ιδιαίτερη προσοχή.","Despite the fact that there were difficulties, the plan was implemented with particular attention."
B1,"Παρά το γεγονός ότι υπήρχαν δυσκολίες, το σχέδιο υλοποιήθηκε σε εθνικό επίπεδο.","Despite the fact that there were difficulties, the plan was implemented at a national level."
B1,Η έρευνα που πραγματοποιήθηκε έδειξε θετικά αποτελέσματα στο άμεσο μέλλον.,The research that was conducted showed positive results in the near future.
B1,Η έρευνα που πραγματοποιήθηκε έδειξε θετικά αποτελέσματα υπό συγκεκριμένες συνθήκες.,The research that was conducted showed positive results under specific conditions.
B1,Η έρευνα που πραγματοποιήθηκε έδειξε θετικά αποτελέσματα χωρίς περαιτέρω καθυστέρηση.,The research that was conducted showed positive results without further delay.
B1,Η έρευνα που πραγματοποιήθηκε έδειξε θετικά αποτελέσματα με ιδιαίτερη προσοχή.,The research that was conducted showed positive results with particular attention.
B1,Η έρευνα που πραγματοποιήθηκε έδειξε θετικά αποτελέσματα σε εθνικό επίπεδο.,The research that was conducted showed positive results at a national level.
B1,Είναι πιθανό να υπάρξουν καθυστερήσεις λόγω τεχνικών προβλημάτων στο άμεσο μέλλον.,It is possible that there will be delays due to technical issues in the near future.
B1,Είναι πιθανό να υπάρξουν καθυστερήσεις λόγω τεχνικών προβλημάτων υπό συγκεκριμένες συνθήκες.,It is possible that there will be delays due to technical issues under specific conditions.
B1,Είναι πιθανό να υπάρξουν καθυστερήσεις λόγω τεχνικών προβλημάτων χωρίς περαιτέρω καθυστέρηση.,It is possible that there will be delays due to technical issues without further delay.
B1,Είναι πιθανό να υπάρξουν καθυστερήσεις λόγω τεχνικών προβλημάτων με ιδιαίτερη προσοχή.,It is possible that there will be delays due to technical issues with particular attention.
B1,Είναι πιθανό να υπάρξουν καθυστερήσεις λόγω τεχνικών προβλημάτων σε εθνικό επίπεδο.,It is possible that there will be delays due to technical issues at a national level.
B1,Μου είχε υποσχεθεί ότι θα με ενημερώσει εγκαίρως στο άμεσο μέλλον.,He had promised me that he would inform me in time in the near future.
B1,Μου είχε υποσχεθεί ότι θα με ενημερώσει εγκαίρως υπό συγκεκριμένες συνθήκες.,He had promised me that he would inform me in time under specific conditions.
B1,Μου είχε υποσχεθεί ότι θα με ενημερώσει εγκαίρως χωρίς περαιτέρω καθυστέρηση.,He had promised me that he would inform me in time without further delay.
B1,Μου είχε υποσχεθεί ότι θα με ενημερώσει εγκαίρως με ιδιαίτερη προσοχή.,He had promised me that he would inform me in time with particular attention.
B1,Μου είχε υποσχεθεί ότι θα με ενημερώσει εγκαίρως σε εθνικό επίπεδο.,He had promised me that he would inform me in time at a national level.
B1,Το έργο ολοκληρώθηκε σύμφωνα με το αρχικό χρονοδιάγραμμα στο άμεσο μέλλον.,The project was completed according to the original schedule in the near future.
B1,Το έργο ολοκληρώθηκε σύμφωνα με το αρχικό χρονοδιάγραμμα υπό συγκεκριμένες συνθήκες.,The project was completed according to the original schedule under specific conditions.
B1,Το έργο ολοκληρώθηκε σύμφωνα με το αρχικό χρονοδιάγραμμα χωρίς περαιτέρω καθυστέρηση.,The project was completed according to the original schedule without further delay.
B1,Το έργο ολοκληρώθηκε σύμφωνα με το αρχικό χρονοδιάγραμμα με ιδιαίτερη προσοχή.,The project was completed according to the original schedule with particular attention.
B1,Το έργο ολοκληρώθηκε σύμφωνα με το αρχικό χρονοδιάγραμμα σε εθνικό επίπεδο.,The project was completed according to the original schedule at a national level.
B1,Δεν είχε συνειδητοποιήσει πόσο σημαντική ήταν η απόφαση στο άμεσο μέλλον.,He had not realized how important the decision was in the near future.
B1,Δεν είχε συνειδητοποιήσει πόσο σημαντική ήταν η απόφαση υπό συγκεκριμένες συνθήκες.,He had not realized how important the decision was under specific conditions.
B1,Δεν είχε συνειδητοποιήσει πόσο σημαντική ήταν η απόφαση χωρίς περαιτέρω καθυστέρηση.,He had not realized how important the decision was without further delay.
B1,Δεν είχε συνειδητοποιήσει πόσο σημαντική ήταν η απόφαση με ιδιαίτερη προσοχή.,He had not realized how important the decision was with particular attention.
B1,Δεν είχε συνειδητοποιήσει πόσο σημαντική ήταν η απόφαση σε εθνικό επίπεδο.,He had not realized how important the decision was at a national level.
B1,Η συμφωνία υπογράφηκε παρουσία των εκπροσώπων στο άμεσο μέλλον.,The agreement was signed in the presence of the representatives in the near future.
B1,Η συμφωνία υπογράφηκε παρουσία των εκπροσώπων υπό συγκεκριμένες συνθήκες.,The agreement was signed in the presence of the representatives under specific conditions.
B1,Η συμφωνία υπογράφηκε παρουσία των εκπροσώπων χωρίς περαιτέρω καθυστέρηση.,The agreement was signed in the presence of the representatives without further delay.
B1,Η συμφωνία υπογράφηκε παρουσία των εκπροσώπων με ιδιαίτερη προσοχή.,The agreement was signed in the presence of the representatives with particular attention.
B1,Η συμφωνία υπογράφηκε παρουσία των εκπροσώπων σε εθνικό επίπεδο.,The agreement was signed in the presence of the representatives at a national level.
B1,"Όπως αναφέρθηκε προηγουμένως, η διαδικασία είναι πολύπλοκη στο άμεσο μέλλον.","As mentioned previously, the process is complex in the near future."
B1,"Όπως αναφέρθηκε προηγουμένως, η διαδικασία είναι πολύπλοκη υπό συγκεκριμένες συνθήκες.","As mentioned previously, the process is complex under specific conditions."
B1,"Όπως αναφέρθηκε προηγουμένως, η διαδικασία είναι πολύπλοκη χωρίς περαιτέρω καθυστέρηση.","As mentioned previously, the process is complex without further delay."
B1,"Όπως αναφέρθηκε προηγουμένως, η διαδικασία είναι πολύπλοκη με ιδιαίτερη προσοχή.","As mentioned previously, the process is complex with particular attention."
B1,"Όπως αναφέρθηκε προηγουμένως, η διαδικασία είναι πολύπλοκη σε εθνικό επίπεδο.","As mentioned previously, the process is complex at a national level."
B1,Το αίτημα εξετάζεται από την αρμόδια επιτροπή στο άμεσο μέλλον.,The request is being examined by the competent committee in the near future.
B1,Το αίτημα εξετάζεται από την αρμόδια επιτροπή υπό συγκεκριμένες συνθήκες.,The request is being examined by the competent committee under specific conditions.
B1,Το αίτημα εξετάζεται από την αρμόδια επιτροπή χωρίς περαιτέρω καθυστέρηση.,The request is being examined by the competent committee without further delay.
B1,Το αίτημα εξετάζεται από την αρμόδια επιτροπή με ιδιαίτερη προσοχή.,The request is being examined by the competent committee with particular attention.
B1,Το αίτημα εξετάζεται από την αρμόδια επιτροπή σε εθνικό επίπεδο.,The request is being examined by the competent committee at a national level.
B1,Η κατάσταση βελτιώθηκε χάρη στις προσπάθειες της ομάδας στο άμεσο μέλλον.,The situation improved thanks to the efforts of the team in the near future.
B1,Η κατάσταση βελτιώθηκε χάρη στις προσπάθειες της ομάδας υπό συγκεκριμένες συνθήκες.,The situation improved thanks to the efforts of the team under specific conditions.
B1,Η κατάσταση βελτιώθηκε χάρη στις προσπάθειες της ομάδας χωρίς περαιτέρω καθυστέρηση.,The situation improved thanks to the efforts of the team without further delay.
B1,Η κατάσταση βελτιώθηκε χάρη στις προσπάθειες της ομάδας με ιδιαίτερη προσοχή.,The situation improved thanks to the efforts of the team with particular attention.
B1,Η κατάσταση βελτιώθηκε χάρη στις προσπάθειες της ομάδας σε εθνικό επίπεδο.,The situation improved thanks to the efforts of the team at a national level.
B1,"Εφόσον εγκριθεί η πρόταση, θα ξεκινήσει άμεσα η εφαρμογή της στο άμεσο μέλλον.","If the proposal is approved, its implementation will begin immediately in the near future."
B1,"Εφόσον εγκριθεί η πρόταση, θα ξεκινήσει άμεσα η εφαρμογή της υπό συγκεκριμένες συνθήκες.","If the proposal is approved, its implementation will begin immediately under specific conditions."
B1,"Εφόσον εγκριθεί η πρόταση, θα ξεκινήσει άμεσα η εφαρμογή της χωρίς περαιτέρω καθυστέρηση.","If the proposal is approved, its implementation will begin immediately without further delay."
B1,"Εφόσον εγκριθεί η πρόταση, θα ξεκινήσει άμεσα η εφαρμογή της με ιδιαίτερη προσοχή.","If the proposal is approved, its implementation will begin immediately with particular attention."
B1,"Εφόσον εγκριθεί η πρόταση, θα ξεκινήσει άμεσα η εφαρμογή της σε εθνικό επίπεδο.","If the proposal is approved, its implementation will begin immediately at a national level."
B1,Η πληροφορία που δόθηκε αποδείχθηκε ανακριβής στο άμεσο μέλλον.,The information that was given proved to be inaccurate in the near future.
B1,Η πληροφορία που δόθηκε αποδείχθηκε ανακριβής υπό συγκεκριμένες συνθήκες.,The information that was given proved to be inaccurate under specific conditions.
B1,Η πληροφορία που δόθηκε αποδείχθηκε ανακριβής χωρίς περαιτέρω καθυστέρηση.,The information that was given proved to be inaccurate without further delay.
B1,Η πληροφορία που δόθηκε αποδείχθηκε ανακριβής με ιδιαίτερη προσοχή.,The information that was given proved to be inaccurate with particular attention.
B1,Η πληροφορία που δόθηκε αποδείχθηκε ανακριβής σε εθνικό επίπεδο.,The information that was given proved to be inaccurate at a national level.
B1,"Σύμφωνα με τις τελευταίες εξελίξεις, αναμένονται αλλαγές στο άμεσο μέλλον.","According to the latest developments, changes are expected in the near future."
B1,"Σύμφωνα με τις τελευταίες εξελίξεις, αναμένονται αλλαγές υπό συγκεκριμένες συνθήκες.","According to the latest developments, changes are expected under specific conditions."
B1,"Σύμφωνα με τις τελευταίες εξελίξεις, αναμένονται αλλαγές χωρίς περαιτέρω καθυστέρηση.","According to the latest developments, changes are expected without further delay."
B1,"Σύμφωνα με τις τελευταίες εξελίξεις, αναμένονται αλλαγές με ιδιαίτερη προσοχή.","According to the latest developments, changes are expected with particular attention."
B1,"Σύμφωνα με τις τελευταίες εξελίξεις, αναμένονται αλλαγές σε εθνικό επίπεδο.","According to the latest developments, changes are expected at a national level."
