language,cefr_level,topic,Spanish,English
Spanish,C1,mixed,"A pesar de que el informe fue redactado con sumo cuidado, varios errores terminaron colándose en la versión final.","Despite the report being drafted with the utmost care, several errors ended up slipping into the final version."
Spanish,C1,mixed,"Me cuesta creer que alguien con tanta experiencia haya tomado una decisión tan precipitada.","I find it hard to believe that someone with so much experience would make such a rash decision."
Spanish,C1,mixed,"Las consecuencias del cambio climático se están haciendo sentir con más fuerza de lo que muchos gobiernos estaban dispuestos a admitir.","The consequences of climate change are making themselves felt more forcefully than many governments were willing to admit."
Spanish,C1,mixed,"Por mucho que insistas, no pienso cambiar de parecer a estas alturas.","No matter how much you insist, I'm not about to change my mind at this point."
Spanish,C1,mixed,"El escritor recurrió a una prosa densa y fragmentada para reflejar el caos interior de su protagonista.","The writer drew on a dense, fragmented prose style to reflect his protagonist's inner chaos."
Spanish,C1,mixed,"Quienes critican la medida sin haber leído el texto completo están, cuanto menos, actuando de mala fe.","Those who criticize the measure without having read the full text are, at the very least, acting in bad faith."
Spanish,C1,mixed,"Se me hace raro volver a la ciudad donde crecí y no reconocer casi nada.","It feels strange to come back to the city where I grew up and barely recognize anything."
Spanish,C1,mixed,"El acuerdo alcanzado tras semanas de negociación se vino abajo en cuestión de horas.","The agreement reached after weeks of negotiation fell apart in a matter of hours."
Spanish,C1,mixed,"Hay algo en la forma en que habla que delata que no está siendo del todo sincero.","There's something in the way he speaks that gives away that he isn't being entirely honest."
Spanish,C1,mixed,"La exposición invitaba al espectador a cuestionar la frontera entre lo cotidiano y lo sublime.","The exhibition invited the viewer to question the boundary between the everyday and the sublime."
Spanish,C1,engineering,"El puente fue diseñado para soportar cargas dinámicas muy superiores a las que se esperan en condiciones normales de uso.","The bridge was designed to withstand dynamic loads far exceeding those expected under normal operating conditions."
Spanish,C1,engineering,"La fatiga del material es uno de los factores más difíciles de predecir a la hora de estimar la vida útil de una estructura.","Material fatigue is one of the hardest factors to predict when estimating the service life of a structure."
Spanish,C1,engineering,"Antes de escalar el prototipo a producción, el equipo tuvo que resolver varios cuellos de botella en el proceso de manufactura.","Before scaling the prototype to production, the team had to resolve several bottlenecks in the manufacturing process."
Spanish,C1,engineering,"La eficiencia térmica del sistema mejoró considerablemente una vez que se redujeron las pérdidas por conducción en los empalmes.","The system's thermal efficiency improved considerably once conduction losses at the joints were reduced."
Spanish,C1,engineering,"No basta con que el diseño sea funcional; también debe anticipar los modos de fallo más probables bajo condiciones extremas.","It's not enough for a design to be functional — it must also anticipate the most likely failure modes under extreme conditions."
Spanish,C1,history,"La caída del Imperio Romano de Occidente no fue un evento repentino, sino el resultado de un largo proceso de fragmentación política y presión exterior.","The fall of the Western Roman Empire was not a sudden event, but the result of a long process of political fragmentation and external pressure."
Spanish,C1,history,"Los historiadores siguen debatiendo en qué medida la Revolución Francesa fue causa o consecuencia de la crisis económica que la precedió.","Historians continue to debate the extent to which the French Revolution was a cause or consequence of the economic crisis that preceded it."
Spanish,C1,history,"El colonialismo dejó cicatrices institucionales tan profundas que muchos países aún lidian con sus efectos décadas después de la independencia.","Colonialism left institutional scars so deep that many countries are still grappling with its effects decades after independence."
Spanish,C1,history,"Pocas figuras históricas generan tanto consenso en su condena como aquellas que ascendieron al poder aprovechándose de la fragilidad democrática de su época.","Few historical figures generate as much consensus in their condemnation as those who rose to power by exploiting the democratic fragility of their time."
Spanish,C1,history,"La invención de la imprenta no solo transformó la difusión del conocimiento, sino que alteró de forma irreversible las estructuras de poder eclesiástico y político.","The invention of the printing press not only transformed the spread of knowledge, but irreversibly altered the structures of ecclesiastical and political power."
Spanish,C1,mexican revolutionary history,"Emiliano Zapata no concebía la revolución como un mero cambio de gobierno, sino como una transformación profunda de las estructuras agrarias que habían despojado a los pueblos indígenas de sus tierras.","Emiliano Zapata did not conceive of the revolution as a mere change of government, but as a profound transformation of the agrarian structures that had stripped indigenous communities of their land."
Spanish,C1,mexican revolutionary history,"El Plan de Ayala representó una ruptura definitiva con Madero y dejó en claro que el zapatismo exigía reformas que iban mucho más allá de la democracia electoral.","The Plan of Ayala represented a definitive break with Madero and made clear that Zapatismo demanded reforms that went far beyond electoral democracy."
Spanish,C1,mexican revolutionary history,"La Decena Trágica evidenció hasta qué punto las fuerzas conservadoras estaban dispuestas a llegar para frenar cualquier avance revolucionario genuino.","The Ten Tragic Days revealed just how far conservative forces were willing to go to halt any genuine revolutionary progress."
Spanish,C1,mexican revolutionary history,"Pancho Villa supo moverse con igual destreza en el campo de batalla que en el terreno de la propaganda, consciente de que la guerra también se ganaba en la imaginación popular.","Pancho Villa proved as adept on the battlefield as in the realm of propaganda, aware that wars are also won in the popular imagination."
Spanish,C1,mexican revolutionary history,"La Constitución de 1917 fue un documento adelantado a su tiempo, incorporando derechos sociales y laborales que muchas naciones tardaron décadas en reconocer.","The Constitution of 1917 was a document ahead of its time, incorporating social and labor rights that many nations took decades to recognize."
Spanish,C1,Cárdenas era,"La expropiación petrolera de 1938 no fue solo un acto de soberanía económica, sino un golpe simbólico que redefinió la relación entre el Estado mexicano y las potencias extranjeras.","The 1938 oil expropriation was not merely an act of economic sovereignty, but a symbolic blow that redefined the relationship between the Mexican state and foreign powers."
Spanish,C1,Cárdenas era,"Cárdenas logró movilizar un apoyo popular sin precedentes al enmarcar la expropiación como una causa nacional, logrando que incluso sus opositores se vieran obligados a guardar silencio.","Cárdenas managed to mobilize unprecedented popular support by framing the expropriation as a national cause, compelling even his opponents to hold their tongue."
Spanish,C1,Cárdenas era,"La reforma agraria cardenista distribuyó millones de hectáreas entre comunidades campesinas, aunque su implementación fue desigual y dejó pendientes estructurales que persisten hasta hoy.","The Cardenista agrarian reform distributed millions of hectares among peasant communities, though its implementation was uneven and left structural issues that persist to this day."
Spanish,C1,Cárdenas era,"Al reorganizar el partido oficial en torno a sectores corporativos, Cárdenas sentó las bases de un sistema político que canalizaría —y a la vez contendría— la movilización popular durante décadas.","By reorganizing the official party around corporatist sectors, Cárdenas laid the foundations of a political system that would channel — and simultaneously contain — popular mobilization for decades."
Spanish,C1,Cárdenas era,"El asilo otorgado a León Trotsky reflejaba tanto las convicciones internacionalistas de Cárdenas como su voluntad de distanciarse de las presiones diplomáticas de las grandes potencias.","The asylum granted to Leon Trotsky reflected both Cárdenas's internationalist convictions and his determination to distance himself from the diplomatic pressures of the great powers."
Spanish,C1,history of the PRI,"El PRI perfeccionó un modelo de dominación política que combinaba la cooptación de líderes disidentes con la represión selectiva de quienes se negaban a integrarse al sistema.","The PRI perfected a model of political dominance that combined the co-optation of dissident leaders with the selective repression of those who refused to be absorbed into the system."
Spanish,C1,history of the PRI,"El dedazo, esa práctica por la cual el presidente saliente designaba a su sucesor sin consulta alguna, encarnaba la naturaleza profundamente antidemocrática del régimen priista.","The dedazo — the practice by which the outgoing president handpicked his successor without any consultation — embodied the deeply undemocratic nature of the PRI regime."
Spanish,C1,history of the PRI,"Durante décadas, la frontera entre el partido y el Estado fue tan difusa que muchos mexicanos simplemente los concebían como una sola entidad.","For decades, the boundary between the party and the state was so blurred that many Mexicans simply conceived of them as a single entity."
Spanish,C1,history of the PRI,"La masacre de Tlatelolco en 1968 expuso ante el mundo las contradicciones de un régimen que se proclamaba heredero de la revolución mientras reprimía a su propia juventud.","The Tlatelolco massacre of 1968 exposed to the world the contradictions of a regime that proclaimed itself heir to the revolution while repressing its own youth."
Spanish,C1,history of the PRI,"La alternancia del año 2000, cuando Vicente Fox arrebató la presidencia al PRI, fue vivida por muchos como el fin de una era que pocos habían creído posible ver concluir.","The political transition of 2000, when Vicente Fox wrested the presidency from the PRI, was experienced by many as the end of an era that few had believed they would live to see close."
Spanish,C1,mexican archaeology,"Las excavaciones en Teotihuacán han revelado una complejidad urbana y ritual que desafía las interpretaciones simplistas sobre el colapso de las grandes civilizaciones mesoamericanas.","Excavations at Teotihuacán have revealed an urban and ritual complexity that challenges simplistic interpretations of the collapse of great Mesoamerican civilizations."
Spanish,C1,mexican archaeology,"El desciframiento de la escritura maya a lo largo del siglo XX transformó radicalmente nuestra comprensión de una cultura que durante mucho tiempo fue leída a través de filtros coloniales.","The decipherment of Maya writing throughout the 20th century radically transformed our understanding of a culture that had long been interpreted through colonial filters."
Spanish,C1,mexican archaeology,"Los túneles descubiertos bajo el Templo Mayor de Tenochtitlán sugieren que los mexicas concebían el espacio sagrado como una superposición de capas temporales, no como una construcción lineal.","The tunnels discovered beneath the Templo Mayor of Tenochtitlán suggest that the Mexica conceived of sacred space as a layered superimposition of time, not as a linear construction."
Spanish,C1,mexican archaeology,"El sitio de Monte Albán sigue planteando interrogantes fundamentales sobre la naturaleza del poder zapoteca y los mecanismos mediante los cuales una élite logró sostener su autoridad durante siglos.","The site of Monte Albán continues to raise fundamental questions about the nature of Zapotec power and the mechanisms by which an elite managed to sustain its authority for centuries."
Spanish,C1,mexican archaeology,"La arqueología mexicana ha tenido que negociar constantemente entre las exigencias científicas del trabajo de campo y las demandas simbólicas de un Estado que convirtió el pasado prehispánico en pilar de la identidad nacional.","Mexican archaeology has had to constantly negotiate between the scientific demands of fieldwork and the symbolic demands of a state that turned the pre-Hispanic past into a pillar of national identity."
Spanish,C1,urban design of Mexico City,"La traza reticular impuesta por los colonizadores españoles sobre las ruinas de Tenochtitlán no fue un acto meramente urbanístico, sino una declaración de poder que buscaba borrar la memoria espacial de la ciudad vencida.","The grid layout imposed by Spanish colonizers over the ruins of Tenochtitlán was not merely an urban planning decision, but a declaration of power aimed at erasing the spatial memory of the conquered city."
Spanish,C1,urban design of Mexico City,"El hundimiento progresivo del suelo lacustre sobre el que fue construida la ciudad representa uno de los desafíos de ingeniería más complejos y costosos que enfrenta cualquier metrópolis en el mundo.","The progressive sinking of the lakebed soil on which the city was built represents one of the most complex and costly engineering challenges faced by any metropolis in the world."
Spanish,C1,urban design of Mexico City,"La construcción de la Ciudad Universitaria en los años cincuenta fusionó el muralismo con la arquitectura moderna, produciendo un campus que hasta hoy se considera una de las expresiones más logradas del nacionalismo cultural mexicano.","The construction of Ciudad Universitaria in the 1950s fused muralism with modern architecture, producing a campus that to this day is considered one of the most accomplished expressions of Mexican cultural nationalism."
Spanish,C1,urban design of Mexico City,"La expansión descontrolada de la periferia capitalina ha generado bolsas de urbanización informal que el Estado ha sido incapaz de integrar plenamente a la infraestructura y los servicios de la ciudad formal.","The uncontrolled expansion of the capital's periphery has generated pockets of informal urbanization that the state has been unable to fully integrate into the infrastructure and services of the formal city."
Spanish,C1,urban design of Mexico City,"El rescate del Centro Histórico impulsado desde los años noventa ha sido celebrado como un éxito patrimonial, pero también criticado por haber desplazado a comunidades populares en favor de una gentrificación disfrazada de restauración cultural.","The revitalization of the Historic Center driven since the 1990s has been celebrated as a heritage success, but also criticized for having displaced working-class communities in favor of gentrification dressed up as cultural restoration."
Spanish,C1,architectural styles of Mexico City,"El eclecticismo del Palacio de Bellas Artes, con su exterior art nouveau y su interior art déco, refleja las tensiones de una época en que México buscaba proyectarse como nación moderna sin renunciar a una identidad visual propia.","The eclecticism of the Palacio de Bellas Artes, with its art nouveau exterior and art deco interior, reflects the tensions of an era in which Mexico sought to project itself as a modern nation without abandoning a visual identity of its own."
Spanish,C1,architectural styles of Mexico City,"Luis Barragán transformó la tradición vernácula mexicana en un lenguaje arquitectónico de validez universal, demostrando que la austeridad formal y el uso dramático del color no son categorías incompatibles.","Luis Barragán transformed the Mexican vernacular tradition into an architectural language of universal validity, demonstrating that formal austerity and the dramatic use of color are not incompatible categories."
Spanish,C1,architectural styles of Mexico City,"La arquitectura porfiriana del Paseo de la Reforma evidencia el afán de una élite por europeizar la imagen de la capital, importando estilos y materiales que tenían poco que ver con el clima o la cultura local.","The Porfirian architecture along Paseo de la Reforma reveals the ambition of an elite to Europeanize the capital's image, importing styles and materials that had little to do with the local climate or culture."
Spanish,C1,architectural styles of Mexico City,"Los multifamiliares construidos en la era del desarrollo estabilizador encarnaban una visión optimista del Estado benefactor, aunque con el tiempo muchos se convirtieron en testimonio de las promesas incumplidas de la modernidad urbana.","The housing complexes built during the era of stabilizing development embodied an optimistic vision of the welfare state, though over time many became a testament to the unfulfilled promises of urban modernity."
Spanish,C1,architectural styles of Mexico City,"La obra de Tatiana Bilbao y otros arquitectos contemporáneos mexicanos propone una reconciliación entre la densidad urbana y la escala humana, cuestionando el modelo especulativo que ha dominado la construcción capitalina en las últimas décadas.","The work of Tatiana Bilbao and other contemporary Mexican architects proposes a reconciliation between urban density and human scale, questioning the speculative model that has dominated construction in the capital over recent decades."
Spanish,C1,brutalism in Mexico City,"El Conjunto Habitacional Nonoalco-Tlatelolco, diseñado por Mario Pani en los años sesenta, representó la apuesta más ambiciosa del Estado mexicano por resolver el déficit de vivienda a través de una arquitectura de escala monumental y vocación social.","The Nonoalco-Tlatelolco Housing Complex, designed by Mario Pani in the 1960s, represented the most ambitious bet by the Mexican state to address the housing deficit through an architecture of monumental scale and social purpose."
Spanish,C1,brutalism in Mexico City,"El brutalismo mexicano adoptó el hormigón aparente no solo como material constructivo sino como declaración ideológica, una forma de rechazar el ornamento burgués en favor de una estética que se pretendía honesta y popular.","Mexican brutalism adopted exposed concrete not just as a building material but as an ideological declaration — a way of rejecting bourgeois ornament in favor of an aesthetic that aspired to be honest and popular."
Spanish,C1,brutalism in Mexico City,"La Secretaría de Relaciones Exteriores en Tlatelolco ejemplifica cómo el brutalismo tardío en México intentó dialogar con la escala precolombina, evocando la masa y la solidez de las plataformas ceremoniales mesoamericanas.","The Ministry of Foreign Affairs in Tlatelolco exemplifies how late brutalism in Mexico attempted to engage with the pre-Columbian scale, evoking the mass and solidity of Mesoamerican ceremonial platforms."
Spanish,C1,brutalism in Mexico City,"El terremoto de 1985 puso en entredicho no solo la calidad constructiva de muchos edificios brutalistas, sino también el modelo de ciudad compacta y verticalizada que estos conjuntos habitacionales representaban.","The 1985 earthquake called into question not only the construction quality of many brutalist buildings, but also the model of the compact, verticalized city that these housing complexes represented."
Spanish,C1,brutalism in Mexico City,"A diferencia del brutalismo europeo, que frecuentemente cayó en el monumentalismo frío y deshumanizado, algunos exponentes mexicanos del estilo lograron incorporar patios, vegetación y referencias culturales que atenuaban la dureza inherente del material.","Unlike European brutalism, which frequently lapsed into cold and dehumanizing monumentalism, some Mexican exponents of the style managed to incorporate courtyards, vegetation, and cultural references that softened the inherent harshness of the material."
